   W         E6-(pi+_n)
 (MeV)      Re         Im
 1860.0    0.071321  -0.002632
 1861.0    0.071294  -0.002612
 1862.0    0.071267  -0.002591
 1863.0    0.071240  -0.002571
 1864.0    0.071212  -0.002551
 1865.0    0.071185  -0.002531
 1866.0    0.071158  -0.002510
 1867.0    0.071130  -0.002490
 1868.0    0.071103  -0.002469
 1869.0    0.071075  -0.002448
 1870.0    0.071048  -0.002427
 1871.0    0.071020  -0.002406
 1872.0    0.070992  -0.002385
 1873.0    0.070964  -0.002363
 1874.0    0.070937  -0.002342
 1875.0    0.070909  -0.002321
 1876.0    0.070881  -0.002299
 1877.0    0.070853  -0.002277
 1878.0    0.070824  -0.002255
 1879.0    0.070796  -0.002233
 1880.0    0.070768  -0.002211
 1881.0    0.070740  -0.002188
 1882.0    0.070711  -0.002166
 1883.0    0.070683  -0.002143
 1884.0    0.070655  -0.002120
 1885.0    0.070626  -0.002098
 1886.0    0.070598  -0.002075
 1887.0    0.070569  -0.002051
 1888.0    0.070540  -0.002028
 1889.0    0.070512  -0.002005
